iter	Logloss
0	0.6507601493
1	0.6197072928
2	0.5958837891
3	0.572926505
4	0.5507418387
5	0.5315186855
6	0.5111620222
7	0.4983541434
8	0.4873808071
9	0.4783200073
10	0.4716499983
11	0.4599043492
12	0.4517375401
13	0.4407417515
14	0.4342922974
15	0.4247834124
16	0.4193954904
17	0.4128362165
18	0.4085120501
19	0.4017863246
20	0.3936266218
21	0.3885742187
22	0.3834280831
23	0.3791020421
24	0.3746246774
25	0.3709031023
26	0.3673390852
27	0.3629767282
28	0.3603834098
29	0.355133449
30	0.3509311349
31	0.3476214164
32	0.3445794242
33	0.3398267473
34	0.3368978664
35	0.334498945
36	0.332782026
37	0.3306453596
38	0.3286347307
39	0.3259923444
40	0.3234308297
41	0.3206740243
42	0.3190004185
43	0.3178595189
44	0.3156737845
45	0.314644383
46	0.3115454538
47	0.3087456403
48	0.3069685582
49	0.3045055498
50	0.3020809501
51	0.3003194101
52	0.297984423
53	0.2959435163
54	0.2941279384
55	0.2923860168
56	0.2902125113
57	0.2888450187
58	0.2872450038
59	0.2853042167
60	0.2842120797
61	0.2829595947
62	0.2815788923
63	0.280590101
64	0.2792419434
65	0.2778814697
66	0.275087629
67	0.2733201381
68	0.2719653756
69	0.2709815325
70	0.2697147914
71	0.2687447684
72	0.2672112601
73	0.2663831438
74	0.2646579415
75	0.2633391026
76	0.2618272618
77	0.2600244795
78	0.2586148507
79	0.2575158255
80	0.2551853943
81	0.253321228
82	0.2516125488
83	0.2500089591
84	0.2490586635
85	0.2482090977
86	0.2465110125
87	0.2453781128
88	0.24415305
89	0.2428418841
90	0.2422719029
91	0.2413324847
92	0.2400854928
93	0.2386917986
94	0.2375415693
95	0.2362097168
96	0.2349920872
97	0.233818185
98	0.2328259713
99	0.2318040684
100	0.2307274955
101	0.2299767194
102	0.2280444336
103	0.2268273926
104	0.2246703666
105	0.224007394
106	0.2223298427
107	0.2211691502
108	0.2196629769
109	0.2183330427
110	0.217492763
111	0.2167314802
112	0.2154418073
113	0.2146556745
114	0.213704943
115	0.2124453299
116	0.2118169948
117	0.2110607474
118	0.2092630877
119	0.2086097499
120	0.2073192487
121	0.2060675485
122	0.2046647426
123	0.2036359515
124	0.2028494699
125	0.2010670907
126	0.1999847412
127	0.199380406
128	0.1983738708
129	0.1979171099
130	0.1971794128
131	0.196282523
132	0.1956943621
133	0.1951243591
134	0.1942120579
135	0.1932763672
136	0.1926528713
137	0.1916855948
138	0.1903761074
139	0.1893638175
140	0.1885167803
141	0.1877233015
142	0.1865477426
143	0.1855864171
144	0.1845036534
145	0.1832253592
146	0.1827355085
147	0.1818124826
148	0.1810597992
149	0.1805391148
150	0.1801496233
151	0.1794879368
152	0.1785853032
153	0.1781922804
154	0.1771656799
155	0.1760837991
156	0.1748871831
157	0.1741154807
158	0.1734114293
159	0.1725937326
160	0.1719826726
161	0.1714596885
162	0.1711663818
163	0.1702416338
164	0.1695768302
165	0.1688082886
166	0.168249915
167	0.1679262107
168	0.1671342032
169	0.1668118395
170	0.1663105774
171	0.1651106698
172	0.1639965166
173	0.163497358
174	0.1622612435
175	0.1613724627
176	0.1606122916
177	0.1602010345
178	0.1592987279
179	0.1586035483
180	0.1578839765
181	0.1571843393
182	0.1566724505
183	0.155577458
184	0.1551177216
185	0.1546394021
186	0.1537079729
187	0.1531079538
188	0.1520889936
189	0.1515722438
190	0.1512945666
191	0.1505087934
192	0.1498922512
193	0.1494005476
194	0.148902686
195	0.1485674722
196	0.1479553877
197	0.1476021031
198	0.1472439357
199	0.1464773669
